[2024-06-08 16:48:44,939 : INFO: main: Welcome to our custom logger]
[2024-06-12 14:55:15,256 : INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-12 14:55:15,283 : INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-12 14:55:15,286 : INFO: common: created directory at: artifacts]
[2024-06-12 14:55:15,288 : INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-12 14:56:20,514 : INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-12 14:56:20,519 : INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-12 14:56:20,520 : INFO: common: created directory at: artifacts]
[2024-06-12 14:56:20,521 : INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-12 15:00:23,361 : INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-12 15:00:23,365 : INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-12 15:00:23,366 : INFO: common: created directory at: artifacts]
[2024-06-12 15:00:23,368 : INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-12 15:03:40,428 : INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-12 15:03:40,432 : INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-12 15:03:40,433 : INFO: common: created directory at: artifacts]
[2024-06-12 15:03:40,435 : INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-12 15:09:20,469 : INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-12 15:09:20,477 : INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-12 15:09:20,479 : INFO: common: created directory at: artifacts]
[2024-06-12 15:09:20,480 : INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-12 15:09:20,483 : ERROR: 2257475951: An error occurred: 'DataIngestion' object has no attribute 'download_file']
[2024-06-12 15:21:38,979 : INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-12 15:21:38,982 : INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-12 15:21:38,983 : INFO: common: created directory at: artifacts]
[2024-06-12 15:21:38,987 : INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-12 15:21:38,988 : INFO: 2101609963: Downloading data from https://drive.google.com/file/d/1QkhFwEN6Nw-bzCOkd-PnmBUjZCNN9bDB/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-06-12 15:23:04,729 : INFO: 2101609963: Download data from https://drive.google.com/file/d/1QkhFwEN6Nw-bzCOkd-PnmBUjZCNN9bDB/view?usp=drive_link into artifacts/data_ingestion/data.zip]
[2024-06-12 15:23:16,930 : ERROR: 2257475951: An error occurred: 'DataIngestion' object has no attribute 'logger']
[2024-06-12 15:24:48,154 : INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-12 15:24:48,156 : INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-12 15:24:48,157 : INFO: common: created directory at: artifacts]
[2024-06-12 15:24:48,159 : INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-12 15:24:48,161 : INFO: 1378210630: Downloading data from https://drive.google.com/file/d/1QkhFwEN6Nw-bzCOkd-PnmBUjZCNN9bDB/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-06-12 15:26:12,754 : INFO: 1378210630: Download data from https://drive.google.com/file/d/1QkhFwEN6Nw-bzCOkd-PnmBUjZCNN9bDB/view?usp=drive_link into artifacts/data_ingestion/data.zip]
[2024-06-12 16:48:09,683 : INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-06-12 16:48:09,684 : INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-12 16:48:09,685 : INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-12 16:48:09,685 : INFO: common: created directory at: artifacts]
[2024-06-12 16:48:09,685 : INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-12 16:48:09,685 : INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1QkhFwEN6Nw-bzCOkd-PnmBUjZCNN9bDB/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-06-12 16:49:35,050 : INFO: data_ingestion: Download data from https://drive.google.com/file/d/1QkhFwEN6Nw-bzCOkd-PnmBUjZCNN9bDB/view?usp=drive_link into artifacts/data_ingestion/data.zip]
[2024-06-12 16:49:45,628 : INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==============x]
